;;Visual Properties;;;;;Labels;;;Graph Metrics;Do Not Edit;;Other Columns;;;;;;;;;;;;
Vertex 1;Vertex 2;Color;Width;Style;Opacity;Visibility;Label;Label Text Color;Label Font Size;Reciprocated?;ID;Dynamic Filter;Add Your Own Columns Here;Relationship;Relationship Date (UTC);Tweet;URLs in Tweet;Domains in Tweet;Hashtags in Tweet;Tweet Date (UTC);Twitter Page for Tweet;Latitude;Longitude;Imported ID;In-Reply-To Tweet ID
th_holzhauser;g_der_gegenwart;;;;;;;;;;;;;Mentions;2-5-2021 13:08;RT @G_der_Gegenwart: Die #QAnon-Bewegung verbreitet #Verschwörungstheorien über gequälte Kinder. Auch wenn es anders scheinen mag: Das ist…;;;qanon verschwörungstheorien;2-5-2021 13:08;https://twitter.com/#!/th_holzhauser/status/1388842750175551496;;;1388842750175551496;
mikereesem;mog7546;;;;;;;;;;;;;Mentions;2-5-2021 13:10;"RT @mog7546: This is the fringiest of the fringe

#QAnon GOP Cultists Are Holding UV Lights To AZ Ballots Looking For Secret Watermarks

#M…";;;qanon;2-5-2021 13:10;https://twitter.com/#!/mikereesem/status/1388843425835913216;;;1388843425835913216;
breemenpedia;rudybouma;;;;;;;;;;;;;Mentions;2-5-2021 13:12;RT @rudybouma: Baudet's bron is een #QAnon-aanhangster die gelooft in een satanische, pedofiele, bloeddrinkende elite. Ze noemt ook Obama e…;;;qanon;2-5-2021 13:12;https://twitter.com/#!/breemenpedia/status/1388843752010174466;;;1388843752010174466;
elwoodlampblack;mog7546;;;;;;;;;;;;;Mentions;2-5-2021 13:15;"RT @mog7546: This is the fringiest of the fringe

#QAnon GOP Cultists Are Holding UV Lights To AZ Ballots Looking For Secret Watermarks

#M…";;;qanon;2-5-2021 13:15;https://twitter.com/#!/elwoodlampblack/status/1388844690355720195;;;1388844690355720195;
houdafstand;rudybouma;;;;;;;;;;;;;Mentions;2-5-2021 13:26;RT @rudybouma: Baudet's bron is een #QAnon-aanhangster die gelooft in een satanische, pedofiele, bloeddrinkende elite. Ze noemt ook Obama e…;;;qanon;2-5-2021 13:26;https://twitter.com/#!/houdafstand/status/1388847266228801536;;;1388847266228801536;
listenhere12;mog7546;;;;;;;;;;;;;Mentions;2-5-2021 13:28;"RT @mog7546: This is the fringiest of the fringe

#QAnon GOP Cultists Are Holding UV Lights To AZ Ballots Looking For Secret Watermarks

#M…";;;qanon;2-5-2021 13:28;https://twitter.com/#!/listenhere12/status/1388847899312893966;;;1388847899312893966;
jihel93;joebiden;;;;;;;;;;;;;Mentions;2-5-2021 13:31;RT @EricNaulleau: Nous sommes le 2 mai 2021 et @JoeBiden n’a toujours pas été arrêté par l’armée contrairement à ce qu’annonçaient tous les…;;;;2-5-2021 13:31;https://twitter.com/#!/jihel93/status/1388848705256792064;;;1388848705256792064;
jihel93;ericnaulleau;;;;;;;;;;;;;Mentions;2-5-2021 13:31;RT @EricNaulleau: Nous sommes le 2 mai 2021 et @JoeBiden n’a toujours pas été arrêté par l’armée contrairement à ce qu’annonçaient tous les…;;;;2-5-2021 13:31;https://twitter.com/#!/jihel93/status/1388848705256792064;;;1388848705256792064;
sampson_elaine;mog7546;;;;;;;;;;;;;Mentions;2-5-2021 13:35;"RT @mog7546: This is the fringiest of the fringe

#QAnon GOP Cultists Are Holding UV Lights To AZ Ballots Looking For Secret Watermarks

#M…";;;qanon;2-5-2021 13:35;https://twitter.com/#!/sampson_elaine/status/1388849685499195396;;;1388849685499195396;
cmdr_drsyell;rudybouma;;;;;;;;;;;;;Mentions;2-5-2021 13:35;RT @rudybouma: Baudet's bron is een #QAnon-aanhangster die gelooft in een satanische, pedofiele, bloeddrinkende elite. Ze noemt ook Obama e…;;;qanon;2-5-2021 13:35;https://twitter.com/#!/cmdr_drsyell/status/1388849692767924224;;;1388849692767924224;
zachvat;zachvat;;;;;;;;;;;;;Tweet;2-5-2021 13:37;"The Republican Party.
The GOP, Grand Old Party.
The Party of Sedition.
The Party of Insurrection.
The Party of Craz… https://t.co/5DDG4eE72l";https://twitter.com/i/web/status/1388850113368535044;twitter.com;;2-5-2021 13:37;https://twitter.com/#!/zachvat/status/1388850113368535044;;;1388850113368535044;
sherlockianone;tiffanyandco;;;;;;;;;;;;;Mentions;2-5-2021 13:40;#TiffanyQ ⁦@TiffanyAndCo⁩ #QAnon https://t.co/iFYiaZMi6B;;;tiffanyq qanon;2-5-2021 13:40;https://twitter.com/#!/sherlockianone/status/1388850947837906949;;;1388850947837906949;
grimjowl_scag;amazi;;;;;;;;;;;;;Mentions;2-5-2021 13:43;RT @jarue369: Did anyone hold @PrayingMedic responsible for lying to everyone or did we let him off the hook, too? Same question for @Amazi…;;;;2-5-2021 13:43;https://twitter.com/#!/grimjowl_scag/status/1388851648001421313;;;1388851648001421313;
grimjowl_scag;jarue369;;;;;;;;;;;;;Mentions;2-5-2021 13:43;RT @jarue369: Did anyone hold @PrayingMedic responsible for lying to everyone or did we let him off the hook, too? Same question for @Amazi…;;;;2-5-2021 13:43;https://twitter.com/#!/grimjowl_scag/status/1388851648001421313;;;1388851648001421313;
oscarbrak;rudybouma;;;;;;;;;;;;;Mentions;2-5-2021 13:43;RT @rudybouma: Baudet's bron is een #QAnon-aanhangster die gelooft in een satanische, pedofiele, bloeddrinkende elite. Ze noemt ook Obama e…;;;qanon;2-5-2021 13:43;https://twitter.com/#!/oscarbrak/status/1388851648651485185;;;1388851648651485185;
cspernit;atafoyovsky;;;;;;;;;;;;;Mentions;2-5-2021 13:45;"RT @ATafoyovsky: 3/
It's really funny that both have been constantly claiming that ""Thomas had nothing to do with Q"" but Schoenberger has b…";;;;2-5-2021 13:45;https://twitter.com/#!/cspernit/status/1388852173803507718;;;1388852173803507718;
cspernit;atafoyovsky;;;;;;;;;;;;;Mentions;2-5-2021 13:45;"RT @ATafoyovsky: 2/
Lil' SH1LLLS and #Janon who is also a #freemason, templar, and other white supremacist sects, both of them have been fo…";;;janon freemason;2-5-2021 13:45;https://twitter.com/#!/cspernit/status/1388852202492604423;;;1388852202492604423;
occupyonelove;shesus__christ;;;;;;;;;;;;;Replies to;2-5-2021 13:48;"@SHEsus__Christ .
sounds about right to a

 #Qanon-ees 
or is it #Qanon-nites?
or #Qanon-s

!! To early to think!!";;;qanon qanon qanon;2-5-2021 13:48;https://twitter.com/#!/occupyonelove/status/1388853023699521537;;;1388853023699521537;1388837206782009348
