;;Visual Properties;;;;;Labels;;;Graph Metrics;Do Not Edit;;Other Columns;;;;;;;;;;;;
Vertex 1;Vertex 2;Color;Width;Style;Opacity;Visibility;Label;Label Text Color;Label Font Size;Reciprocated?;ID;Dynamic Filter;Add Your Own Columns Here;Relationship;Relationship Date (UTC);Tweet;URLs in Tweet;Domains in Tweet;Hashtags in Tweet;Tweet Date (UTC);Twitter Page for Tweet;Latitude;Longitude;Imported ID;In-Reply-To Tweet ID
nassreddin2002;nassreddin2002;;;;;;;;;;;;;Tweet;29-4-2021 11:53;Deze tweet is wel spot on. D66, CDA en CU twijfelden, durfden niet en delen nu de gebakken peren met M*rk R*tte.… https://t.co/1GoUK7OB8g;https://twitter.com/i/web/status/1387736752736120832;twitter.com;;29-4-2021 11:53;https://twitter.com/#!/nassreddin2002/status/1387736752736120832;;;1387736752736120832;
resoundeffects;renskeleijten;;;;;;;;;;;;;Mentions;29-4-2021 11:53;"RT @NiemandsKnegt: #Notulendebat

Let wel, deze hartenkreten en woede uitbarstingen van @PieterOmtzigt en @RenskeLeijten vonden plaats op 1…";;;notulendebat;29-4-2021 11:53;https://twitter.com/#!/resoundeffects/status/1387736755969875970;;;1387736755969875970;
resoundeffects;pieteromtzigt;;;;;;;;;;;;;Mentions;29-4-2021 11:53;"RT @NiemandsKnegt: #Notulendebat

Let wel, deze hartenkreten en woede uitbarstingen van @PieterOmtzigt en @RenskeLeijten vonden plaats op 1…";;;notulendebat;29-4-2021 11:53;https://twitter.com/#!/resoundeffects/status/1387736755969875970;;;1387736755969875970;
resoundeffects;niemandsknegt;;;;;;;;;;;;;Mentions;29-4-2021 11:53;"RT @NiemandsKnegt: #Notulendebat

Let wel, deze hartenkreten en woede uitbarstingen van @PieterOmtzigt en @RenskeLeijten vonden plaats op 1…";;;notulendebat;29-4-2021 11:53;https://twitter.com/#!/resoundeffects/status/1387736755969875970;;;1387736755969875970;
hannes7707;tonfvandijk;;;;;;;;;;;;;Mentions;29-4-2021 11:53;RT @tonfvandijk: Wilders benoemt de olifant in de Kamer: Wanneer laat mevrouw Hermans haar rol als politiek assitent van Rutte los? #notule…;;;;29-4-2021 11:53;https://twitter.com/#!/hannes7707/status/1387736757806981121;;;1387736757806981121;
ychofficial;ychofficial;;;;;;;;;;;;;Tweet;29-4-2021 11:53;#notulendebat - Zo zie je maar hoe langzaam alles gaat.;;;notulendebat;29-4-2021 11:53;https://twitter.com/#!/ychofficial/status/1387736759543517189;;;1387736759543517189;
coachwhip_;coachwhip_;;;;;;;;;;;;;Tweet;29-4-2021 11:53;Ze draaien om het woord sensibiliseren heen. Verdomme geef gewoon antwoord op de vraag zo moeilijk is het niet Jezus. #notulendebat;;;notulendebat;29-4-2021 11:53;https://twitter.com/#!/coachwhip_/status/1387736760797515781;;;1387736760797515781;
dankers_ralph;dankers_ralph;;;;;;;;;;;;;Tweet;29-4-2021 11:53;Wat is die Kuik irritant en arrogant in haar antwoorden, dat lachje zegt genoeg #notulendebat;;;notulendebat;29-4-2021 11:53;https://twitter.com/#!/dankers_ralph/status/1387736766354972672;;;1387736766354972672;
irmawaarhuijs;irmawaarhuijs;;;;;;;;;;;;;Tweet;29-4-2021 11:53;Het is er het weer voor #notulendebat volgen;;;notulendebat;29-4-2021 11:53;https://twitter.com/#!/irmawaarhuijs/status/1387736784923201541;;;1387736784923201541;
tonia60;wybrenvanhaga;;;;;;;;;;;;;Mentions;29-4-2021 11:53;RT @lientje1967: @F_azarkan dient motie van wantrouwen in tegen het Kabinet Motie is ondertekend door @BoerBurgerB , @WybrenvanHaga @geertw…;;;;29-4-2021 11:53;https://twitter.com/#!/tonia60/status/1387736796491038721;;;1387736796491038721;
tonia60;boerburgerb;;;;;;;;;;;;;Mentions;29-4-2021 11:53;RT @lientje1967: @F_azarkan dient motie van wantrouwen in tegen het Kabinet Motie is ondertekend door @BoerBurgerB , @WybrenvanHaga @geertw…;;;;29-4-2021 11:53;https://twitter.com/#!/tonia60/status/1387736796491038721;;;1387736796491038721;
tonia60;f_azarkan;;;;;;;;;;;;;Mentions;29-4-2021 11:53;RT @lientje1967: @F_azarkan dient motie van wantrouwen in tegen het Kabinet Motie is ondertekend door @BoerBurgerB , @WybrenvanHaga @geertw…;;;;29-4-2021 11:53;https://twitter.com/#!/tonia60/status/1387736796491038721;;;1387736796491038721;
tonia60;lientje1967;;;;;;;;;;;;;Mentions;29-4-2021 11:53;RT @lientje1967: @F_azarkan dient motie van wantrouwen in tegen het Kabinet Motie is ondertekend door @BoerBurgerB , @WybrenvanHaga @geertw…;;;;29-4-2021 11:53;https://twitter.com/#!/tonia60/status/1387736796491038721;;;1387736796491038721;
rodyvheijst;rodyvheijst;;;;;;;;;;;;;Tweet;29-4-2021 11:53;Wanneer je het demissionaire kabinet nog demissionairder wilt maken.😌 #notulendebat https://t.co/0UuI4g6xAQ;https://twitter.com/F_azarkan/status/1387702515576233986;twitter.com;notulendebat;29-4-2021 11:53;https://twitter.com/#!/rodyvheijst/status/1387736800442073090;;;1387736800442073090;
heidiboesdal;roelgrif;;;;;;;;;;;;;Mentions;29-4-2021 11:53;"RT @roelgrif: @AnneKuik:
Omtzigt is ziek geworden van het dossier en van het onrecht dat de slachtoffers is aangedaan.

Niet van hoe zijn C…";;;;29-4-2021 11:53;https://twitter.com/#!/heidiboesdal/status/1387736801893310470;;;1387736801893310470;
heidiboesdal;annekuik;;;;;;;;;;;;;Mentions;29-4-2021 11:53;"RT @roelgrif: @AnneKuik:
Omtzigt is ziek geworden van het dossier en van het onrecht dat de slachtoffers is aangedaan.

Niet van hoe zijn C…";;;;29-4-2021 11:53;https://twitter.com/#!/heidiboesdal/status/1387736801893310470;;;1387736801893310470;
musti_ayla;lientje1967;;;;;;;;;;;;;Mentions;29-4-2021 11:53;RT @lientje1967: De motie van wantrouwen tegen voltallige Kabinet. #notulendebat #toeslagenaffaire https://t.co/i8h5gn1FqG;;;notulendebat toeslagenaffaire;29-4-2021 11:53;https://twitter.com/#!/musti_ayla/status/1387736715041857545;;;1387736715041857545;
musti_ayla;geertwilderspvv;;;;;;;;;;;;;Mentions;29-4-2021 11:53;RT @geertwilderspvv: Een ministerraad vol incompetente bange mensen, narcisten, egoïsten die vooral bezig waren hun eigen hachje te redden.…;;;;29-4-2021 11:53;https://twitter.com/#!/musti_ayla/status/1387736803592097793;;;1387736803592097793;
wimwijn1;markdehollander;;;;;;;;;;;;;Mentions;29-4-2021 11:53;RT @markdehollander: Kuik (CDA) hakkelt wat en weigert het voor Omtzigt op te nemen. Ze moet wat volzinnen van haar briefje afkijken en dit…;;;;29-4-2021 11:53;https://twitter.com/#!/wimwijn1/status/1387736815415791623;;;1387736815415791623;
purkjees;vrijman_f;;;;;;;;;;;;;Mentions;29-4-2021 11:53;RT @Vrijman_F: Vies en achterbaks heeft een gezicht. #notulendebat https://t.co/p03MqoUXaZ;;;notulendebat;29-4-2021 11:53;https://twitter.com/#!/purkjees/status/1387736767957278721;;;1387736767957278721;
purkjees;mariannezw;;;;;;;;;;;;;Mentions;29-4-2021 11:53;"RT @mariannezw: Rutte moest plassen.
Of even met het krullenmeisje smoezen. 
#notulendebat";;;notulendebat;29-4-2021 11:53;https://twitter.com/#!/purkjees/status/1387736794666569729;;;1387736794666569729;
purkjees;avschoot;;;;;;;;;;;;;Mentions;29-4-2021 11:53;"RT @AvSchoot: Wat een doodeng politicus is dhr. Jetten toch. De regering uit de wind houden.

#notulendebat";;;notulendebat;29-4-2021 11:53;https://twitter.com/#!/purkjees/status/1387736815692570626;;;1387736815692570626;
geert_talsma;geert_talsma;;;;;;;;;;;;;Tweet;29-4-2021 11:53;#notulendebat https://t.co/YLknSQIjAp;;;notulendebat;29-4-2021 11:53;https://twitter.com/#!/geert_talsma/status/1387736819475914755;;;1387736819475914755;
bladzeide;robjetten;;;;;;;;;;;;;Mentions;29-4-2021 11:53;RT @FemkeMerel: Wow... Dit is echt héél gênant. Wat doet @RobJetten!... Rob, wat doe je! Doorbréék die coalitiedwang nou eens!! Kom op! Laa…;;;;29-4-2021 11:53;https://twitter.com/#!/bladzeide/status/1387736829831548929;;;1387736829831548929;
bladzeide;femkemerel;;;;;;;;;;;;;Mentions;29-4-2021 11:53;RT @FemkeMerel: Wow... Dit is echt héél gênant. Wat doet @RobJetten!... Rob, wat doe je! Doorbréék die coalitiedwang nou eens!! Kom op! Laa…;;;;29-4-2021 11:53;https://twitter.com/#!/bladzeide/status/1387736829831548929;;;1387736829831548929;
pietburgering;pietburgering;;;;;;;;;;;;;Tweet;29-4-2021 11:53;Anne Kuik (#CDA) kun je om een boodschap sturen. #notulendebat;;;cda notulendebat;29-4-2021 11:53;https://twitter.com/#!/pietburgering/status/1387736839109361668;;;1387736839109361668;
sureshbs1;sureshbs1;;;;;;;;;;;;;Tweet;29-4-2021 11:53;Wilders heeft een beperkte woordenschat om te beledigen. Wordt eentonig.#notulendebat;;;notulendebat;29-4-2021 11:53;https://twitter.com/#!/sureshbs1/status/1387736840044793861;;;1387736840044793861;
yous033;robjetten;;;;;;;;;;;;;Mentions;29-4-2021 11:53;RT @FemkeMerel: Wow... Dit is echt héél gênant. Wat doet @RobJetten!... Rob, wat doe je! Doorbréék die coalitiedwang nou eens!! Kom op! Laa…;;;;29-4-2021 11:53;https://twitter.com/#!/yous033/status/1387736842120974340;;;1387736842120974340;
