;;Visual Properties;;;;;Labels;;;Graph Metrics;Do Not Edit;;Other Columns;;;;;;;;;;;;
Vertex 1;Vertex 2;Color;Width;Style;Opacity;Visibility;Label;Label Text Color;Label Font Size;Reciprocated?;ID;Dynamic Filter;Add Your Own Columns Here;Relationship;Relationship Date (UTC);Tweet;URLs in Tweet;Domains in Tweet;Hashtags in Tweet;Tweet Date (UTC);Twitter Page for Tweet;Latitude;Longitude;Imported ID;In-Reply-To Tweet ID
nl_ray;dejongcatharina;;;;;;;;;;405;;;Mentions;29-4-2021 09:22;"RT @dejongcatharina: Het is weer de grote ' #wappie heeft weer gelijk dag'

#avondklok geen effect
#vaccinatiepaspoort is een feit

Alles w…";;;wappie avondklok vaccinatiepaspoort;29-4-2021 09:22;https://twitter.com/#!/nl_ray/status/1387698699481096192;;;1387698699481096192;
chrisleenders1;celinecamille04;;;;;;;;;;406;;;Mentions;29-4-2021 09:22;RT @NeytAndText: @wierdduk @CelineCamille04 Dit is geen nieuws. Iedereen die naar de staten van besmettingen, opnames en stergevallen keek,…;;;;29-4-2021 09:22;https://twitter.com/#!/chrisleenders1/status/1387698777130160128;;;1387698777130160128;
chrisleenders1;wierdduk;;;;;;;;;;407;;;Mentions;29-4-2021 09:22;RT @NeytAndText: @wierdduk @CelineCamille04 Dit is geen nieuws. Iedereen die naar de staten van besmettingen, opnames en stergevallen keek,…;;;;29-4-2021 09:22;https://twitter.com/#!/chrisleenders1/status/1387698777130160128;;;1387698777130160128;
chrisleenders1;neytandtext;;;;;;;;;;408;;;Mentions;29-4-2021 09:22;RT @NeytAndText: @wierdduk @CelineCamille04 Dit is geen nieuws. Iedereen die naar de staten van besmettingen, opnames en stergevallen keek,…;;;;29-4-2021 09:22;https://twitter.com/#!/chrisleenders1/status/1387698777130160128;;;1387698777130160128;
seriousbuttrue;dejongcatharina;;;;;;;;;;409;;;Mentions;29-4-2021 09:22;"RT @dejongcatharina: Het is weer de grote ' #wappie heeft weer gelijk dag'

#avondklok geen effect
#vaccinatiepaspoort is een feit

Alles w…";;;wappie avondklok vaccinatiepaspoort;29-4-2021 09:22;https://twitter.com/#!/seriousbuttrue/status/1387698894944055296;;;1387698894944055296;
fransje53229178;fransje53229178;;;;;;;;;;410;;;Tweet;28-4-2021 18:55;"En dan zijn er 🐑🐑🐑 die mekkeren dat je een #wappie bent.....
#complot_denker

https://t.co/vBLDJzlqyI";https://eindtijdnieuws.com/breaking-news-na-medische-analyse-pcr-tests-blijken-hulpmiddel-te-zijn-voor-genocide/;eindtijdnieuws.com;wappie complot_denker;28-4-2021 18:55;https://twitter.com/#!/fransje53229178/status/1387480626736025603;;;1387480626736025603;
capkrim50;fransje53229178;;;;;;;;;;411;;;Mentions;29-4-2021 07:32;"RT @Fransje53229178: En dan zijn er 🐑🐑🐑 die mekkeren dat je een #wappie bent.....
#complot_denker

https://t.co/vBLDJzlqyI";https://eindtijdnieuws.com/breaking-news-na-medische-analyse-pcr-tests-blijken-hulpmiddel-te-zijn-voor-genocide/;eindtijdnieuws.com;wappie complot_denker;29-4-2021 07:32;https://twitter.com/#!/capkrim50/status/1387671198893477888;;;1387671198893477888;
capkrim50;dejongcatharina;;;;;;;;;;412;;;Mentions;29-4-2021 09:23;"RT @dejongcatharina: Het is weer de grote ' #wappie heeft weer gelijk dag'

#avondklok geen effect
#vaccinatiepaspoort is een feit

Alles w…";;;wappie avondklok vaccinatiepaspoort;29-4-2021 09:23;https://twitter.com/#!/capkrim50/status/1387699078843314177;;;1387699078843314177;
hansmit6;kafka_dev;;;;;;;;;;413;;;Mentions;29-4-2021 09:24;"RT @KAFKA_Dev: Dit zei elke #wappie maanden geleden al! Luister toch eens naar Wappies! Wappies hebben altijd gelijk! 😉
Ik ben trots op elk…";;;wappie;29-4-2021 09:24;https://twitter.com/#!/hansmit6/status/1387699234091196419;;;1387699234091196419;
anke64854890;kafka_dev;;;;;;;;;;414;;;Mentions;29-4-2021 09:25;"RT @KAFKA_Dev: Dit zei elke #wappie maanden geleden al! Luister toch eens naar Wappies! Wappies hebben altijd gelijk! 😉
Ik ben trots op elk…";;;wappie;29-4-2021 09:25;https://twitter.com/#!/anke64854890/status/1387699643555975170;;;1387699643555975170;
perpetuummobi20;kafka_dev;;;;;;;;;;415;;;Mentions;29-4-2021 09:30;"RT @KAFKA_Dev: De #avondklok heeft dus geen enkel effect gehad. Iets wat elke #wappie van te voren al zei. 
Ze hebben dus willens &amp; wetens…";;;avondklok wappie;29-4-2021 09:30;https://twitter.com/#!/perpetuummobi20/status/1387700813607358464;;;1387700813607358464;
berttaling;dejongcatharina;;;;;;;;;;416;;;Mentions;29-4-2021 09:30;"RT @dejongcatharina: Het is weer de grote ' #wappie heeft weer gelijk dag'

#avondklok geen effect
#vaccinatiepaspoort is een feit

Alles w…";;;wappie avondklok vaccinatiepaspoort;29-4-2021 09:30;https://twitter.com/#!/berttaling/status/1387700907970805761;;;1387700907970805761;
wibopieterse72;wibopieterse72;;;;;;;;;;417;;;Tweet;29-4-2021 09:31;Met dank aan Kuipers  Laat hem zijn mond alsjeblieft houden. Dan houdt het gezeik waarom en hoezo tenminste nog een op. #wappie;;;wappie;29-4-2021 09:31;https://twitter.com/#!/wibopieterse72/status/1387701043497156608;;;1387701043497156608;
pat02181;gozewijnaj;;;;;;;;;;418;;;Mentions;29-4-2021 09:35;"RT @GozewijnAJ: Iets wat normaal nadenkende burgers al van te voren zeiden.
Maar ja dan ben je #wappie hè !

Kuipers: avondklok heeft geen…";;;wappie;29-4-2021 09:35;https://twitter.com/#!/pat02181/status/1387702015040671745;;;1387702015040671745;
2903mjc;prinseschrissie;;;;;;;;;;419;;;Mentions;29-4-2021 09:35;RT @PrinsesChrissie: Dus voor de kat ze kut drie maanden opgehokt gezeten.. Ik ben geen #wappie maar je zou het bijna nog gaan worden door…;;;wappie;29-4-2021 09:35;https://twitter.com/#!/2903mjc/status/1387702073215627266;;;1387702073215627266;
bultmarianne;gozewijnaj;;;;;;;;;;420;;;Mentions;29-4-2021 09:38;"RT @GozewijnAJ: Iets wat normaal nadenkende burgers al van te voren zeiden.
Maar ja dan ben je #wappie hè !

Kuipers: avondklok heeft geen…";;;wappie;29-4-2021 09:38;https://twitter.com/#!/bultmarianne/status/1387702730748223488;;;1387702730748223488;
omedirkdirk;omedirkdirk;;;;;;;;;;421;;;Tweet;29-4-2021 09:42;#wappie   Er schijnt nu ook nazi-yoga te bestaan.  Mediteren met zachtjes,op de achtergrond,het Horst Wessel lied.… https://t.co/yjsZ0dfwyG;https://twitter.com/i/web/status/1387703719022759940;twitter.com;wappie;29-4-2021 09:42;https://twitter.com/#!/omedirkdirk/status/1387703719022759940;;;1387703719022759940;
marjoleinzilver;marjoleinzilver;;;;;;;;;;422;;;Tweet;29-4-2021 09:43;#wappie #yogamoeder #bakfietsouder #corona #antivaxxer #snappie Ik schreef dit blog over het prototype anti-vaxxer. https://t.co/lSXSwRusUk;https://marjoleinschrijftover.nl/de-hoogopgeleide-yoga-rechtse-wappie-bakfietsmoeder/;marjoleinschrijftover.nl;wappie yogamoeder bakfietsouder corona antivaxxer snappie;29-4-2021 09:43;https://twitter.com/#!/marjoleinzilver/status/1387704166408196096;;;1387704166408196096;
writzer63;lientje1967;;;;;;;;;;423;;;Replies to;29-4-2021 09:45;"@lientje1967 Neem de EERSTE KAMER ook mee.. !

Ow ja, ook alle burgemeesters, korpshoofden, kortom iedereen die de… https://t.co/uHSaCAW0mt";https://twitter.com/i/web/status/1387704524488515584;twitter.com;;29-4-2021 09:45;https://twitter.com/#!/writzer63/status/1387704524488515584;;;1387704524488515584;1387700210139344896
mobcplx;rprive1;;;;;;;;;;424;;;Mentions;29-4-2021 09:45;RT @Rprive1: Zo, met het #coronapaspoort is de volgende #wappie theorie omgezet in de praktijk. Wie gelooft nig dat #testen tijdelijk is en…;;;coronapaspoort wappie testen;29-4-2021 09:45;https://twitter.com/#!/mobcplx/status/1387704537494999040;;;1387704537494999040;
ldv2222;rprive1;;;;;;;;;;425;;;Mentions;29-4-2021 09:46;RT @Rprive1: Zo, met het #coronapaspoort is de volgende #wappie theorie omgezet in de praktijk. Wie gelooft nig dat #testen tijdelijk is en…;;;coronapaspoort wappie testen;29-4-2021 09:46;https://twitter.com/#!/ldv2222/status/1387704815409631234;;;1387704815409631234;
waltmaas;waltmaas;;;;;;;;;;426;;;Tweet;29-4-2021 09:48;Is het nu “ik ben een #wappie” of “deze bewering is #wappie” ? Ik zie beide voorbijkomen….Ben niet meer bij in de N… https://t.co/7TCvXgzS29;https://twitter.com/i/web/status/1387705270890074115;twitter.com;wappie wappie;29-4-2021 09:48;https://twitter.com/#!/waltmaas/status/1387705270890074115;;;1387705270890074115;
evelien_netjes;celinecamille04;;;;;;;;;;427;;;Mentions;29-4-2021 08:05;RT @NeytAndText: @wierdduk @CelineCamille04 Dit is geen nieuws. Iedereen die naar de staten van besmettingen, opnames en stergevallen keek,…;;;;29-4-2021 08:05;https://twitter.com/#!/evelien_netjes/status/1387679434455535617;;;1387679434455535617;
evelien_netjes;wierdduk;;;;;;;;;;428;;;Mentions;29-4-2021 08:05;RT @NeytAndText: @wierdduk @CelineCamille04 Dit is geen nieuws. Iedereen die naar de staten van besmettingen, opnames en stergevallen keek,…;;;;29-4-2021 08:05;https://twitter.com/#!/evelien_netjes/status/1387679434455535617;;;1387679434455535617;
evelien_netjes;neytandtext;;;;;;;;;;429;;;Mentions;29-4-2021 08:05;RT @NeytAndText: @wierdduk @CelineCamille04 Dit is geen nieuws. Iedereen die naar de staten van besmettingen, opnames en stergevallen keek,…;;;;29-4-2021 08:05;https://twitter.com/#!/evelien_netjes/status/1387679434455535617;;;1387679434455535617;
evelien_netjes;gozewijnaj;;;;;;;;;;430;;;Mentions;29-4-2021 09:49;"RT @GozewijnAJ: Iets wat normaal nadenkende burgers al van te voren zeiden.
Maar ja dan ben je #wappie hè !

Kuipers: avondklok heeft geen…";;;wappie;29-4-2021 09:49;https://twitter.com/#!/evelien_netjes/status/1387705682917527552;;;1387705682917527552;
evelien_netjes;andredingen;;;;;;;;;;431;;;Mentions;29-4-2021 09:51;RT @AndreDingen: Nooit eerder hadden we een premier die openlijk toegeeft te liegen en de wet te overtreden als het hem zo uitkomt. Dat laa…;;;;29-4-2021 09:51;https://twitter.com/#!/evelien_netjes/status/1387706074363465728;;;1387706074363465728;
cartoonplukker;kafka_dev;;;;;;;;;;432;;;Replies to;29-4-2021 09:53;@KAFKA_Dev #wappie 4 life https://t.co/nJHDw3hGrA;;;wappie;29-4-2021 09:53;https://twitter.com/#!/cartoonplukker/status/1387706500219559937;;;1387706500219559937;1387695721864957956
ronaldus64;kaapsviooltje1;;;;;;;;;;433;;;Mentions;29-4-2021 09:53;RT @kaapsviooltje1: Het leuke aan #wappies vind ik dat het meestal intelligente mensen zijn. Niet doorsnee. Autonoom. Vrije geesten. Niet b…;;;wappies;29-4-2021 09:53;https://twitter.com/#!/ronaldus64/status/1387706709368508417;;;1387706709368508417;
matthijsvs86;vossenjachtle;;;;;;;;;;434;;;Mentions;29-4-2021 09:55;RT @VossenjachtLE: #wappie en ja hoor, die domme wappies citeren weer maar de helft. Ernst Kuipers. Zei vooral dat de avondklok geen effect…;;;wappie;29-4-2021 09:55;https://twitter.com/#!/matthijsvs86/status/1387707157878087680;;;1387707157878087680;
rprive1;rprive1;;;;;;;;;;435;;;Tweet;28-4-2021 19:07;He, een #merkteken om gevaccineerden en ongevaccineerden te scheiden. Mijn #wappie theorieën zijn nu echt bijna all… https://t.co/otd7tDanJY;https://twitter.com/i/web/status/1387483704155639808;twitter.com;merkteken wappie;28-4-2021 19:07;https://twitter.com/#!/rprive1/status/1387483704155639808;;;1387483704155639808;
rprive1;rprive1;;;;;;;;;;436;;;Tweet;29-4-2021 08:35;Zo, met het #coronapaspoort is de volgende #wappie theorie omgezet in de praktijk. Wie gelooft nig dat #testen tijd… https://t.co/rmNx6LMWQY;https://twitter.com/i/web/status/1387686961285156865;twitter.com;coronapaspoort wappie testen;29-4-2021 08:35;https://twitter.com/#!/rprive1/status/1387686961285156865;;;1387686961285156865;
reitsmaharm;rprive1;;;;;;;;;;437;;;Mentions;29-4-2021 09:56;RT @Rprive1: Zo, met het #coronapaspoort is de volgende #wappie theorie omgezet in de praktijk. Wie gelooft nig dat #testen tijdelijk is en…;;;coronapaspoort wappie testen;29-4-2021 09:56;https://twitter.com/#!/reitsmaharm/status/1387707420802224130;;;1387707420802224130;
maryfloor;dejongcatharina;;;;;;;;;;438;;;Mentions;29-4-2021 09:58;"RT @dejongcatharina: Het is weer de grote ' #wappie heeft weer gelijk dag'

#avondklok geen effect
#vaccinatiepaspoort is een feit

Alles w…";;;wappie avondklok vaccinatiepaspoort;29-4-2021 09:58;https://twitter.com/#!/maryfloor/status/1387707970402848768;;;1387707970402848768;
higgenswillem;kafka_dev;;;;;;;;;;439;;;Mentions;29-4-2021 09:59;"RT @KAFKA_Dev: De #avondklok heeft dus geen enkel effect gehad. Iets wat elke #wappie van te voren al zei. 
Ze hebben dus willens &amp; wetens…";;;avondklok wappie;29-4-2021 09:59;https://twitter.com/#!/higgenswillem/status/1387708078599049221;;;1387708078599049221;
heerbean;dejongcatharina;;;;;;;;;;440;;;Mentions;29-4-2021 10:00;"RT @dejongcatharina: Het is weer de grote ' #wappie heeft weer gelijk dag'

#avondklok geen effect
#vaccinatiepaspoort is een feit

Alles w…";;;wappie avondklok vaccinatiepaspoort;29-4-2021 10:00;https://twitter.com/#!/heerbean/status/1387708382119858178;;;1387708382119858178;
mauritsveluwe;gozewijnaj;;;;;;;;;;441;;;Mentions;29-4-2021 10:02;"RT @GozewijnAJ: Iets wat normaal nadenkende burgers al van te voren zeiden.
Maar ja dan ben je #wappie hè !

Kuipers: avondklok heeft geen…";;;wappie;29-4-2021 10:02;https://twitter.com/#!/mauritsveluwe/status/1387708803404206081;;;1387708803404206081;
gpphilosopher;margabult;;;;;;;;;;442;;;Replies to;29-4-2021 09:58;@margabult @r_hartman @wierdduk De naïviteit, stupiditeit en slaafsheid van het gros van het NL volk is hemeltergen… https://t.co/KLCtYyqbIq;https://twitter.com/i/web/status/1387707785442381825;twitter.com;;29-4-2021 09:58;https://twitter.com/#!/gpphilosopher/status/1387707785442381825;;;1387707785442381825;1387565454860902402
r_hartman;margabult;;;;;;;;;;443;;;Mentions;29-4-2021 10:03;RT @GPPhilosopher: @margabult @r_hartman @wierdduk De naïviteit, stupiditeit en slaafsheid van het gros van het NL volk is hemeltergend! #W…;;;;29-4-2021 10:03;https://twitter.com/#!/r_hartman/status/1387709110813184001;;;1387709110813184001;
gpphilosopher;gelehesjesnl;;;;;;;;;;444;;;Replies to;29-4-2021 09:35;@GeLeHesjesNL De naïviteit, stupiditeit en slaafsheid van het gros van het NL volk is hemeltergend! #Wappie zo noem… https://t.co/gdQr1sC8j4;https://twitter.com/i/web/status/1387702109550882819;twitter.com;wappie;29-4-2021 09:35;https://twitter.com/#!/gpphilosopher/status/1387702109550882819;;;1387702109550882819;1387701239207579650
gpphilosopher;wierdduk;;;;;;;;;;445;;;Mentions;29-4-2021 09:58;@margabult @r_hartman @wierdduk De naïviteit, stupiditeit en slaafsheid van het gros van het NL volk is hemeltergen… https://t.co/KLCtYyqbIq;https://twitter.com/i/web/status/1387707785442381825;twitter.com;;29-4-2021 09:58;https://twitter.com/#!/gpphilosopher/status/1387707785442381825;;;1387707785442381825;1387565454860902402
gpphilosopher;r_hartman;;;;;;;;;;446;;;Mentions;29-4-2021 09:58;@margabult @r_hartman @wierdduk De naïviteit, stupiditeit en slaafsheid van het gros van het NL volk is hemeltergen… https://t.co/KLCtYyqbIq;https://twitter.com/i/web/status/1387707785442381825;twitter.com;;29-4-2021 09:58;https://twitter.com/#!/gpphilosopher/status/1387707785442381825;;;1387707785442381825;1387565454860902402
r_hartman;gpphilosopher;;;;;;;;;;447;;;Mentions;29-4-2021 10:03;RT @GPPhilosopher: @margabult @r_hartman @wierdduk De naïviteit, stupiditeit en slaafsheid van het gros van het NL volk is hemeltergend! #W…;;;;29-4-2021 10:03;https://twitter.com/#!/r_hartman/status/1387709110813184001;;;1387709110813184001;
r_hartman;wierdduk;;;;;;;;;;448;;;Mentions;29-4-2021 10:03;RT @GPPhilosopher: @margabult @r_hartman @wierdduk De naïviteit, stupiditeit en slaafsheid van het gros van het NL volk is hemeltergend! #W…;;;;29-4-2021 10:03;https://twitter.com/#!/r_hartman/status/1387709110813184001;;;1387709110813184001;
henk88705077;dejongcatharina;;;;;;;;;;449;;;Mentions;29-4-2021 10:05;"RT @dejongcatharina: Het is weer de grote ' #wappie heeft weer gelijk dag'

#avondklok geen effect
#vaccinatiepaspoort is een feit

Alles w…";;;wappie avondklok vaccinatiepaspoort;29-4-2021 10:05;https://twitter.com/#!/henk88705077/status/1387709663580393478;;;1387709663580393478;
stopumts;divadivawendy;;;;;;;;;;450;;;Mentions;29-4-2021 10:09;"RT @DivaDivawendy: #wappie

https://t.co/UKn8DGfrYN
People believe the msm and don't even do their research, not people dying of covid-19 p…";https://youtu.be/LmP8IiMrZTQ;youtu.be;wappie;29-4-2021 10:09;https://twitter.com/#!/stopumts/status/1387710543511830530;;;1387710543511830530;
anjabaarslag;dejongcatharina;;;;;;;;;;451;;;Mentions;29-4-2021 10:17;"RT @dejongcatharina: Het is weer de grote ' #wappie heeft weer gelijk dag'

#avondklok geen effect
#vaccinatiepaspoort is een feit

Alles w…";;;wappie avondklok vaccinatiepaspoort;29-4-2021 10:17;https://twitter.com/#!/anjabaarslag/status/1387712723333615617;;;1387712723333615617;
ruudborst010;dejongcatharina;;;;;;;;;;452;;;Mentions;29-4-2021 10:20;"RT @dejongcatharina: Het is weer de grote ' #wappie heeft weer gelijk dag'

#avondklok geen effect
#vaccinatiepaspoort is een feit

Alles w…";;;wappie avondklok vaccinatiepaspoort;29-4-2021 10:20;https://twitter.com/#!/ruudborst010/status/1387713294350405634;;;1387713294350405634;
beroepsvissers;beroepsvissers;;;;;;;;;;453;;;Tweet;26-4-2021 12:02;Terwijl de effecten van al dat staal, de chemie, draaiende wieken, constante trillingen, aangepaste zeestromen en s… https://t.co/So8bNBaXuV;https://twitter.com/i/web/status/1386651987324854274;twitter.com;;26-4-2021 12:02;https://twitter.com/#!/beroepsvissers/status/1386651987324854274;;;1386651987324854274;
beroepsvissers;beroepsvissers;;;;;;;;;;454;;;Tweet;27-4-2021 11:33;RT @beroepsvissers: Terwijl de effecten van al dat staal, de chemie, draaiende wieken, constante trillingen, aangepaste zeestromen en sedim…;;;;27-4-2021 11:33;https://twitter.com/#!/beroepsvissers/status/1387006862994853894;;;1387006862994853894;
nelliejs501;beroepsvissers;;;;;;;;;;455;;;Mentions;26-4-2021 12:51;RT @beroepsvissers: Terwijl de effecten van al dat staal, de chemie, draaiende wieken, constante trillingen, aangepaste zeestromen en sedim…;;;;26-4-2021 12:51;https://twitter.com/#!/nelliejs501/status/1386664227318996992;;;1386664227318996992;
jacobusdr98;jacobusdr98;;;;;;;;;;456;;;Tweet;29-4-2021 07:01;"Drie maanden lang voor de gek gehouden.....
Hoelang pikken we het nog?
#avondklok #wappie #coronamaatregelen… https://t.co/lTY8FL5t1W";https://twitter.com/i/web/status/1387663325647998977;twitter.com;avondklok wappie coronamaatregelen;29-4-2021 07:01;https://twitter.com/#!/jacobusdr98/status/1387663325647998977;;;1387663325647998977;
nelliejs501;jacobusdr98;;;;;;;;;;457;;;Mentions;29-4-2021 09:31;"RT @Jacobusdr98: Drie maanden lang voor de gek gehouden.....
Hoelang pikken we het nog?
#avondklok #wappie #coronamaatregelen #coronavirus…";;;avondklok wappie coronamaatregelen coronavirus;29-4-2021 09:31;https://twitter.com/#!/nelliejs501/status/1387701165652160512;;;1387701165652160512;
nelliejs501;kafka_dev;;;;;;;;;;458;;;Mentions;29-4-2021 10:22;"RT @KAFKA_Dev: De #avondklok heeft dus geen enkel effect gehad. Iets wat elke #wappie van te voren al zei. 
Ze hebben dus willens &amp; wetens…";;;avondklok wappie;29-4-2021 10:22;https://twitter.com/#!/nelliejs501/status/1387713799524847616;;;1387713799524847616;
ea_010;dejongcatharina;;;;;;;;;;459;;;Mentions;29-4-2021 10:22;"RT @dejongcatharina: Het is weer de grote ' #wappie heeft weer gelijk dag'

#avondklok geen effect
#vaccinatiepaspoort is een feit

Alles w…";;;wappie avondklok vaccinatiepaspoort;29-4-2021 10:22;https://twitter.com/#!/ea_010/status/1387713826464874500;;;1387713826464874500;
goatrebel;rtlnieuws;;;;;;;;;;460;;;Replies to;29-4-2021 08:28;@RTLnieuws Wat maar weer eens bewijst dat, als echte argumenten ontbreken, men over gaat tot schelden (‘ #wappie !’… https://t.co/d6X4bzTdPm;https://twitter.com/i/web/status/1387685201652944897;twitter.com;wappie;29-4-2021 08:28;https://twitter.com/#!/goatrebel/status/1387685201652944897;;;1387685201652944897;1387676662393974786
marjavancaem;rtlnieuws;;;;;;;;;;461;;;Mentions;29-4-2021 10:22;RT @GoatRebel: @RTLnieuws Wat maar weer eens bewijst dat, als echte argumenten ontbreken, men over gaat tot schelden (‘ #wappie !’ ) - dat…;;;wappie;29-4-2021 10:22;https://twitter.com/#!/marjavancaem/status/1387713827878342656;;;1387713827878342656;
marjavancaem;goatrebel;;;;;;;;;;462;;;Mentions;29-4-2021 10:22;RT @GoatRebel: @RTLnieuws Wat maar weer eens bewijst dat, als echte argumenten ontbreken, men over gaat tot schelden (‘ #wappie !’ ) - dat…;;;wappie;29-4-2021 10:22;https://twitter.com/#!/marjavancaem/status/1387713827878342656;;;1387713827878342656;
ppeijnenburg;beaurtl;;;;;;;;;;463;;;Replies to;28-4-2021 21:07;@BeauRTL 10-0 voor de #wappie;;;wappie;28-4-2021 21:07;https://twitter.com/#!/ppeijnenburg/status/1387513834689208324;;;1387513834689208324;1387503326577758219
ppeijnenburg;ppeijnenburg;;;;;;;;;;464;;;Tweet;29-4-2021 06:57;"Een kijkje in de wondere belevingswereld van Dick.
Dick wil fascistische apartheid invoeren onder het mom van deuge… https://t.co/8KkaIx8D0n";https://twitter.com/i/web/status/1387662215961006080;twitter.com;;29-4-2021 06:57;https://twitter.com/#!/ppeijnenburg/status/1387662215961006080;;;1387662215961006080;
ppeijnenburg;ppeijnenburg;;;;;;;;;;465;;;Tweet;29-4-2021 10:01;"#covid21 mensen niets aan de hand gewoon inenten want dat is belangrijk.

11-0 voor de #wappie intussen. https://t.co/HXQIeRwWso";https://twitter.com/welt/status/1387632002560577536;twitter.com;covid21 wappie;29-4-2021 10:01;https://twitter.com/#!/ppeijnenburg/status/1387708702774411265;;;1387708702774411265;
ppeijnenburg;ppeijnenburg;;;;;;;;;;466;;;Tweet;29-4-2021 10:22;"11-0 voor de #wappie
Check dit👇 Covid-21!!!! https://t.co/HXQIeRwWso";https://twitter.com/welt/status/1387632002560577536;twitter.com;wappie;29-4-2021 10:22;https://twitter.com/#!/ppeijnenburg/status/1387713867518816262;;;1387713867518816262;
hansbutter85;gozewijnaj;;;;;;;;;;467;;;Mentions;29-4-2021 10:27;"RT @GozewijnAJ: Iets wat normaal nadenkende burgers al van te voren zeiden.
Maar ja dan ben je #wappie hè !

Kuipers: avondklok heeft geen…";;;wappie;29-4-2021 10:27;https://twitter.com/#!/hansbutter85/status/1387715105861812224;;;1387715105861812224;
hansbutter85;andredingen;;;;;;;;;;468;;;Mentions;29-4-2021 10:29;RT @AndreDingen: Nooit eerder hadden we een premier die openlijk toegeeft te liegen en de wet te overtreden als het hem zo uitkomt. Dat laa…;;;;29-4-2021 10:29;https://twitter.com/#!/hansbutter85/status/1387715675649724421;;;1387715675649724421;
andredingen;beaurtl;;;;;;;;;;469;;;Replies to;29-4-2021 08:39;@BeauRTL Mislukt experiment #avondklok. Bal ligt bij @HogeRaad in cassatie. Nu ook stoppen met de andere… https://t.co/9fHDOzxPtG;https://twitter.com/i/web/status/1387688096850972673;twitter.com;avondklok;29-4-2021 08:39;https://twitter.com/#!/andredingen/status/1387688096850972673;;;1387688096850972673;1387503326577758219
lodewijkhof;beaurtl;;;;;;;;;;470;;;Replies to;29-4-2021 10:32;@BeauRTL Dua wappies harden gelijk. Laten we stoppen. #proudtobewappie #wappie;;;proudtobewappie wappie;29-4-2021 10:32;https://twitter.com/#!/lodewijkhof/status/1387716429261246466;;;1387716429261246466;1387503326577758219
elzet15;andredingen;;;;;;;;;;471;;;Mentions;29-4-2021 10:33;RT @AndreDingen: Nooit eerder hadden we een premier die openlijk toegeeft te liegen en de wet te overtreden als het hem zo uitkomt. Dat laa…;;;;29-4-2021 10:33;https://twitter.com/#!/elzet15/status/1387716600724340740;;;1387716600724340740;
sumdumnut;vossenjachtle;;;;;;;;;;472;;;Mentions;29-4-2021 10:35;RT @VossenjachtLE: #wappie en ja hoor, die domme wappies citeren weer maar de helft. Ernst Kuipers. Zei vooral dat de avondklok geen effect…;;;wappie;29-4-2021 10:35;https://twitter.com/#!/sumdumnut/status/1387717289773051911;;;1387717289773051911;
dymphy50;dejongcatharina;;;;;;;;;;473;;;Mentions;29-4-2021 10:02;"RT @dejongcatharina: Het is weer de grote ' #wappie heeft weer gelijk dag'

#avondklok geen effect
#vaccinatiepaspoort is een feit

Alles w…";;;wappie avondklok vaccinatiepaspoort;29-4-2021 10:02;https://twitter.com/#!/dymphy50/status/1387708886451429382;;;1387708886451429382;
dymphy50;prinseschrissie;;;;;;;;;;474;;;Mentions;29-4-2021 10:38;RT @PrinsesChrissie: Dus voor de kat ze kut drie maanden opgehokt gezeten.. Ik ben geen #wappie maar je zou het bijna nog gaan worden door…;;;wappie;29-4-2021 10:38;https://twitter.com/#!/dymphy50/status/1387717890204393478;;;1387717890204393478;
prinseschrissie;prinseschrissie;;;;;;;;;;475;;;Tweet;29-4-2021 08:15;Dus voor de kat ze kut drie maanden opgehokt gezeten.. Ik ben geen #wappie maar je zou het bijna nog gaan worden do… https://t.co/aJIYedsNKQ;https://twitter.com/i/web/status/1387682036073238531;twitter.com;wappie;29-4-2021 08:15;https://twitter.com/#!/prinseschrissie/status/1387682036073238531;;;1387682036073238531;
ronnydriessen;prinseschrissie;;;;;;;;;;476;;;Mentions;29-4-2021 10:45;RT @PrinsesChrissie: Dus voor de kat ze kut drie maanden opgehokt gezeten.. Ik ben geen #wappie maar je zou het bijna nog gaan worden door…;;;wappie;29-4-2021 10:45;https://twitter.com/#!/ronnydriessen/status/1387719735404531715;;;1387719735404531715;
petermanshande7;petermanshande7;;;;;;;;;;477;;;Tweet;29-4-2021 10:50;Willen alle Wappies zich direct melden bij hun huisarts.#wappie;;;wappie;29-4-2021 10:50;https://twitter.com/#!/petermanshande7/status/1387720980668243968;;;1387720980668243968;
pritter301;pritter301;;;;;;;;;;478;;;Tweet;29-4-2021 10:51;Afgelopen Koningsdag was een feestdag voor de #wappie, waarbij de oranjegezinde burgers de schuld kregen #Vondelpark;;;wappie vondelpark;29-4-2021 10:51;https://twitter.com/#!/pritter301/status/1387721085647532032;;;1387721085647532032;
adriaanbeenen;gelehesjesnl;;;;;;;;;;479;;;Mentions;29-4-2021 10:52;RT @GeLeHesjesNL: Zorg ervoor dat je erbij bent. We moeten dit keer met echt heel veel mensen staan. Vele duizenden. Wees aanwezig. Zet het…;;;;29-4-2021 10:52;https://twitter.com/#!/adriaanbeenen/status/1387721541899665413;;;1387721541899665413;
bglobalism;gelehesjesnl;;;;;;;;;;480;;;Mentions;29-4-2021 10:55;RT @GeLeHesjesNL: Zorg ervoor dat je erbij bent. We moeten dit keer met echt heel veel mensen staan. Vele duizenden. Wees aanwezig. Zet het…;;;;29-4-2021 10:55;https://twitter.com/#!/bglobalism/status/1387722105802928132;;;1387722105802928132;
