;;Visual Properties;;;;;Labels;;;Graph Metrics;Do Not Edit;;Other Columns;;;;;;;;;;;;
Vertex 1;Vertex 2;Color;Width;Style;Opacity;Visibility;Label;Label Text Color;Label Font Size;Reciprocated?;ID;Dynamic Filter;Add Your Own Columns Here;Relationship;Relationship Date (UTC);Tweet;URLs in Tweet;Domains in Tweet;Hashtags in Tweet;Tweet Date (UTC);Twitter Page for Tweet;Latitude;Longitude;Imported ID;In-Reply-To Tweet ID
_joep;monsdomus;;;;;;;;;;39;;;Mentions;26-4-2021 15:04;@Redbluelion69 @monsdomus @NiewFreek @Doc_Box Nogmaals, deze rotzooi, zwalkend beleid, het voeden van #wappie theor… https://t.co/yIoC42SPAl;https://twitter.com/i/web/status/1386697659017318405;twitter.com;wappie;26-4-2021 15:04;https://twitter.com/#!/_joep/status/1386697659017318405;;;1386697659017318405;1386690593972269062
_joep;redbluelion69;;;;;;;;;;40;;;Replies to;26-4-2021 15:04;@Redbluelion69 @monsdomus @NiewFreek @Doc_Box Nogmaals, deze rotzooi, zwalkend beleid, het voeden van #wappie theor… https://t.co/yIoC42SPAl;https://twitter.com/i/web/status/1386697659017318405;twitter.com;wappie;26-4-2021 15:04;https://twitter.com/#!/_joep/status/1386697659017318405;;;1386697659017318405;1386690593972269062
njmidm;calimer65307482;;;;;;;;;;41;;;Mentions;26-4-2021 10:47;@Cath_Aarts @CaliMer65307482 Een bericht van juni 2020 dat allang ingetrokken is. Kortom, Sandra loopt weer eens on… https://t.co/edilUeMW9X;https://twitter.com/i/web/status/1386633026164203520;twitter.com;;26-4-2021 10:47;https://twitter.com/#!/njmidm/status/1386633026164203520;;;1386633026164203520;1386588213746274306
njmidm;cath_aarts;;;;;;;;;;42;;;Replies to;26-4-2021 10:47;@Cath_Aarts @CaliMer65307482 Een bericht van juni 2020 dat allang ingetrokken is. Kortom, Sandra loopt weer eens on… https://t.co/edilUeMW9X;https://twitter.com/i/web/status/1386633026164203520;twitter.com;;26-4-2021 10:47;https://twitter.com/#!/njmidm/status/1386633026164203520;;;1386633026164203520;1386588213746274306
njmidm;snoes64;;;;;;;;;;43;;;Mentions;26-4-2021 15:09;@DonaldRip2 @vanderkuijl29 @blckbxnews @rivm @MarionKoopmans @PeterDaszak @MarcBonten @AVIPNL @CDCgov @snoes64… https://t.co/dCW2vsBQ6Q;https://twitter.com/i/web/status/1386698974980100098;twitter.com;;26-4-2021 15:09;https://twitter.com/#!/njmidm/status/1386698974980100098;;;1386698974980100098;1386698637279911940
njmidm;cdcgov;;;;;;;;;;44;;;Mentions;26-4-2021 10:38;@vanderkuijl29 @blckbxnews @rivm @MarionKoopmans @PeterDaszak @MarcBonten @AVIPNL @CDCgov Een influenzavirus is geen coronavirus. #wappie;;;wappie;26-4-2021 10:38;https://twitter.com/#!/njmidm/status/1386630634785984514;;;1386630634785984514;1386628316787101696
njmidm;cdcgov;;;;;;;;;;45;;;Mentions;26-4-2021 15:09;@DonaldRip2 @vanderkuijl29 @blckbxnews @rivm @MarionKoopmans @PeterDaszak @MarcBonten @AVIPNL @CDCgov @snoes64… https://t.co/dCW2vsBQ6Q;https://twitter.com/i/web/status/1386698974980100098;twitter.com;;26-4-2021 15:09;https://twitter.com/#!/njmidm/status/1386698974980100098;;;1386698974980100098;1386698637279911940
njmidm;avipnl;;;;;;;;;;46;;;Mentions;26-4-2021 10:38;@vanderkuijl29 @blckbxnews @rivm @MarionKoopmans @PeterDaszak @MarcBonten @AVIPNL @CDCgov Een influenzavirus is geen coronavirus. #wappie;;;wappie;26-4-2021 10:38;https://twitter.com/#!/njmidm/status/1386630634785984514;;;1386630634785984514;1386628316787101696
njmidm;avipnl;;;;;;;;;;47;;;Mentions;26-4-2021 15:09;@DonaldRip2 @vanderkuijl29 @blckbxnews @rivm @MarionKoopmans @PeterDaszak @MarcBonten @AVIPNL @CDCgov @snoes64… https://t.co/dCW2vsBQ6Q;https://twitter.com/i/web/status/1386698974980100098;twitter.com;;26-4-2021 15:09;https://twitter.com/#!/njmidm/status/1386698974980100098;;;1386698974980100098;1386698637279911940
njmidm;marcbonten;;;;;;;;;;48;;;Mentions;26-4-2021 10:38;@vanderkuijl29 @blckbxnews @rivm @MarionKoopmans @PeterDaszak @MarcBonten @AVIPNL @CDCgov Een influenzavirus is geen coronavirus. #wappie;;;wappie;26-4-2021 10:38;https://twitter.com/#!/njmidm/status/1386630634785984514;;;1386630634785984514;1386628316787101696
njmidm;marcbonten;;;;;;;;;;49;;;Mentions;26-4-2021 15:09;@DonaldRip2 @vanderkuijl29 @blckbxnews @rivm @MarionKoopmans @PeterDaszak @MarcBonten @AVIPNL @CDCgov @snoes64… https://t.co/dCW2vsBQ6Q;https://twitter.com/i/web/status/1386698974980100098;twitter.com;;26-4-2021 15:09;https://twitter.com/#!/njmidm/status/1386698974980100098;;;1386698974980100098;1386698637279911940
njmidm;peterdaszak;;;;;;;;;;50;;;Mentions;26-4-2021 10:38;@vanderkuijl29 @blckbxnews @rivm @MarionKoopmans @PeterDaszak @MarcBonten @AVIPNL @CDCgov Een influenzavirus is geen coronavirus. #wappie;;;wappie;26-4-2021 10:38;https://twitter.com/#!/njmidm/status/1386630634785984514;;;1386630634785984514;1386628316787101696
njmidm;peterdaszak;;;;;;;;;;51;;;Mentions;26-4-2021 15:09;@DonaldRip2 @vanderkuijl29 @blckbxnews @rivm @MarionKoopmans @PeterDaszak @MarcBonten @AVIPNL @CDCgov @snoes64… https://t.co/dCW2vsBQ6Q;https://twitter.com/i/web/status/1386698974980100098;twitter.com;;26-4-2021 15:09;https://twitter.com/#!/njmidm/status/1386698974980100098;;;1386698974980100098;1386698637279911940
njmidm;rivm;;;;;;;;;;52;;;Mentions;26-4-2021 10:38;@vanderkuijl29 @blckbxnews @rivm @MarionKoopmans @PeterDaszak @MarcBonten @AVIPNL @CDCgov Een influenzavirus is geen coronavirus. #wappie;;;wappie;26-4-2021 10:38;https://twitter.com/#!/njmidm/status/1386630634785984514;;;1386630634785984514;1386628316787101696
njmidm;rivm;;;;;;;;;;53;;;Mentions;26-4-2021 15:09;@DonaldRip2 @vanderkuijl29 @blckbxnews @rivm @MarionKoopmans @PeterDaszak @MarcBonten @AVIPNL @CDCgov @snoes64… https://t.co/dCW2vsBQ6Q;https://twitter.com/i/web/status/1386698974980100098;twitter.com;;26-4-2021 15:09;https://twitter.com/#!/njmidm/status/1386698974980100098;;;1386698974980100098;1386698637279911940
njmidm;vanderkuijl29;;;;;;;;;;54;;;Replies to;26-4-2021 10:38;@vanderkuijl29 @blckbxnews @rivm @MarionKoopmans @PeterDaszak @MarcBonten @AVIPNL @CDCgov Een influenzavirus is geen coronavirus. #wappie;;;wappie;26-4-2021 10:38;https://twitter.com/#!/njmidm/status/1386630634785984514;;;1386630634785984514;1386628316787101696
njmidm;vanderkuijl29;;;;;;;;;;55;;;Mentions;26-4-2021 15:09;@DonaldRip2 @vanderkuijl29 @blckbxnews @rivm @MarionKoopmans @PeterDaszak @MarcBonten @AVIPNL @CDCgov @snoes64… https://t.co/dCW2vsBQ6Q;https://twitter.com/i/web/status/1386698974980100098;twitter.com;;26-4-2021 15:09;https://twitter.com/#!/njmidm/status/1386698974980100098;;;1386698974980100098;1386698637279911940
njmidm;donaldrip2;;;;;;;;;;56;;;Replies to;26-4-2021 15:09;@DonaldRip2 @vanderkuijl29 @blckbxnews @rivm @MarionKoopmans @PeterDaszak @MarcBonten @AVIPNL @CDCgov @snoes64… https://t.co/dCW2vsBQ6Q;https://twitter.com/i/web/status/1386698974980100098;twitter.com;;26-4-2021 15:09;https://twitter.com/#!/njmidm/status/1386698974980100098;;;1386698974980100098;1386698637279911940
njmidm;marionkoopmans;;;;;;;;;;57;;;Mentions;26-4-2021 10:38;@vanderkuijl29 @blckbxnews @rivm @MarionKoopmans @PeterDaszak @MarcBonten @AVIPNL @CDCgov Een influenzavirus is geen coronavirus. #wappie;;;wappie;26-4-2021 10:38;https://twitter.com/#!/njmidm/status/1386630634785984514;;;1386630634785984514;1386628316787101696
njmidm;blckbxnews;;;;;;;;;;58;;;Mentions;26-4-2021 10:38;@vanderkuijl29 @blckbxnews @rivm @MarionKoopmans @PeterDaszak @MarcBonten @AVIPNL @CDCgov Een influenzavirus is geen coronavirus. #wappie;;;wappie;26-4-2021 10:38;https://twitter.com/#!/njmidm/status/1386630634785984514;;;1386630634785984514;1386628316787101696
njmidm;marionkoopmans;;;;;;;;;;59;;;Mentions;26-4-2021 15:09;@DonaldRip2 @vanderkuijl29 @blckbxnews @rivm @MarionKoopmans @PeterDaszak @MarcBonten @AVIPNL @CDCgov @snoes64… https://t.co/dCW2vsBQ6Q;https://twitter.com/i/web/status/1386698974980100098;twitter.com;;26-4-2021 15:09;https://twitter.com/#!/njmidm/status/1386698974980100098;;;1386698974980100098;1386698637279911940
njmidm;blckbxnews;;;;;;;;;;60;;;Mentions;26-4-2021 15:09;@DonaldRip2 @vanderkuijl29 @blckbxnews @rivm @MarionKoopmans @PeterDaszak @MarcBonten @AVIPNL @CDCgov @snoes64… https://t.co/dCW2vsBQ6Q;https://twitter.com/i/web/status/1386698974980100098;twitter.com;;26-4-2021 15:09;https://twitter.com/#!/njmidm/status/1386698974980100098;;;1386698974980100098;1386698637279911940
cees75803737;anitakuipers5;;;;;;;;;;61;;;Replies to;26-4-2021 16:15;@AnitaKuipers5 Covid19? (Ben geen #wappie ) https://t.co/nFira9xtYd;;;wappie;26-4-2021 16:15;https://twitter.com/#!/cees75803737/status/1386715536835366917;;;1386715536835366917;1386713888872443905
g_claudiad;nos;;;;;;;;;;62;;;Replies to;26-4-2021 16:31;@NOS Toeval bestaat niet. #wappie groet u. 🤗;;;wappie;26-4-2021 16:31;https://twitter.com/#!/g_claudiad/status/1386719476016717826;;;1386719476016717826;1386583135828185092
mjhmeun;beroepsvissers;;;;;;;;;;63;;;Mentions;26-4-2021 17:09;RT @beroepsvissers: Terwijl de effecten van al dat staal, de chemie, draaiende wieken, constante trillingen, aangepaste zeestromen en sedim…;;;;26-4-2021 17:09;https://twitter.com/#!/mjhmeun/status/1386729073607598084;;;1386729073607598084;
sjoerdmoes;beroepsvissers;;;;;;;;;;64;;;Mentions;26-4-2021 17:23;RT @beroepsvissers: Terwijl de effecten van al dat staal, de chemie, draaiende wieken, constante trillingen, aangepaste zeestromen en sedim…;;;;26-4-2021 17:23;https://twitter.com/#!/sjoerdmoes/status/1386732699768041472;;;1386732699768041472;
nicolemoinat;arja_brink;;;;;;;;;;65;;;Replies to;26-4-2021 17:39;@arja_brink Ja precies! Allemaal één pot nat! Er zit ook werkelijk geen verschil tussen! Ik kan er met mijn hoofd n… https://t.co/3qUU8T2cgg;https://twitter.com/i/web/status/1386736748437311488;twitter.com;;26-4-2021 17:39;https://twitter.com/#!/nicolemoinat/status/1386736748437311488;;;1386736748437311488;1386735162701008900
mjzwankhuizen;beroepsvissers;;;;;;;;;;66;;;Mentions;26-4-2021 18:17;RT @beroepsvissers: Terwijl de effecten van al dat staal, de chemie, draaiende wieken, constante trillingen, aangepaste zeestromen en sedim…;;;;26-4-2021 18:17;https://twitter.com/#!/mjzwankhuizen/status/1386746359978549248;;;1386746359978549248;
keesvanderplas8;keesvanderplas8;;;;;;;;;;67;;;Tweet;26-4-2021 19:07;"Gelekte documenten onthullen: Dood &amp; handicaps onder bijwerkingen van Chinese COVID-19-vaccins

Was ik maar een ech… https://t.co/xLNw4pyQSE";https://twitter.com/i/web/status/1386758944136237066;twitter.com;;26-4-2021 19:07;https://twitter.com/#!/keesvanderplas8/status/1386758944136237066;;;1386758944136237066;
remco_oerend;pgrasspriet;;;;;;;;;;68;;;Replies to;26-4-2021 19:16;@PGrasspriet je hebt al last van 5G-straling zeker?? normaal denken lukt al niet meer. #wappie;;;wappie;26-4-2021 19:16;https://twitter.com/#!/remco_oerend/status/1386761040487231490;;;1386761040487231490;1386723006521745414
wlmd;wlmd;;;;;;;;;;69;;;Tweet;26-4-2021 19:33;"Een verpleegkundige vandaag, met  (dreigende) #codezwart - alleen een #faceshield in de directe patiëntenzorg -&gt; #wappie toch?!!";;;codezwart faceshield wappie;26-4-2021 19:33;https://twitter.com/#!/wlmd/status/1386765418967220227;;;1386765418967220227;
tietus79;tietus79;;;;;;;;;;70;;;Tweet;26-4-2021 19:53;Hahaha! Graancirkels op je hoofd! #wappie  #decomplotten;;;wappie decomplotten;26-4-2021 19:53;https://twitter.com/#!/tietus79/status/1386770324218335234;;;1386770324218335234;
natas___ja;natas___ja;;;;;;;;;;71;;;Tweet;26-4-2021 22:10;Zo hè ...#wappie 0.2 https://t.co/VNSvLeD3CQ;https://youtu.be/rQ8ZtdAim2Q;youtu.be;wappie;26-4-2021 22:10;https://twitter.com/#!/natas___ja/status/1386804939247214598;;;1386804939247214598;
phx666;beroepsvissers;;;;;;;;;;72;;;Mentions;26-4-2021 22:16;RT @beroepsvissers: Terwijl de effecten van al dat staal, de chemie, draaiende wieken, constante trillingen, aangepaste zeestromen en sedim…;;;;26-4-2021 22:16;https://twitter.com/#!/phx666/status/1386806294246477824;;;1386806294246477824;
mister_hsa;mister_hsa;;;;;;;;;;73;;;Tweet;26-4-2021 22:16;Goed zo! Vooral het doktersvoorschrift niet opvolgen! Daar voorkom je vast en zeker trombose mee... #Pfizer #wappie https://t.co/2kYuMXPr6t;https://twitter.com/sannesunshine1/status/1386732245025763329;twitter.com;pfizer wappie;26-4-2021 22:16;https://twitter.com/#!/mister_hsa/status/1386806431630995456;;;1386806431630995456;
aris_porter2;actualiteitjunk;;;;;;;;;;74;;;Mentions;27-4-2021 03:43;"RT @actualiteitjunk: #keepdistance #COVID19....
#anderhalvemeter #wappie https://t.co/0gaPZfEuwd";;;keepdistance covid19 anderhalvemeter wappie;27-4-2021 03:43;https://twitter.com/#!/aris_porter2/status/1386888673170493446;;;1386888673170493446;
